Name of the Movie;IMDB;Critics(CRS);Dir_Nominated;Dir_Prized;Writ_Nominated;Writ_Prize;Act_Nominated;Acto_Prized;Action;Animation;Comedy;Drama;Other;G;PG;PG-13;R;Production Budget (PB);Box Office(US);;;;;;;;
The Danish Girl;7;66;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;15000000;12706393;;;;;;;;
Black Mass;6,9;68;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;53000000;62563543;;;;;;;;
Straight outa Compton;7,9;72;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;28000000;161029270;;;;;;;;
Bridge of Spies;7,6;81;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;40000000;72306065;;;;;;;;
Green Room;7;79;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5000000;3219029;;;;;;;;
Insurgent;6,3;42;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;110000000;129995817;;;;;;;;
The Gift;7,1;77;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;5000000;43771291;;;;;;;;
Everest;7,1;64;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;55000000;43247140;;;;;;;;
Chappie;6,9;41;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;49000000;31569268;;;;;;;;
The LongestRide;7,1;33;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;34000000;37432299;;;;;;;;
Trainwreck;6,3;75;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;35000000;110008260;;;;;;;;
Pitch Perfect 2;6,5;63;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;29000000;183436380;;;;;;;;
Bone TomaHawk;7,1;72;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1800000;3440525;;;;;;;;
Demolition;7;49;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;10000000;1822315;;;;;;;;
Pixels;5,6;27;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;88000000;78747585;;;;;;;;
Joy;6,6;56;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;60000000;56443482;;;;;;;;
Hardcore Henry;6,7;51;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2000000;9244565;;;;;;;;
Brooklyn;7,5;87;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;11000000;38317535;;;;;;;;
Point Break;5,3;34;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;105000000;28772222;;;;;;;;
Goosebumps;6,3;60;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;58000000;80021740;;;;;;;;
Focus;6,6;56;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;50100000;53846915;;;;;;;;
Magic Mike XXL;5,7;60;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;14800000;66009973;;;;;;;;
Vacation;6,1;34;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;31000000;58879132;;;;;;;;
High Rise;5,7;65;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;8000000;3900000;;;;;;;;
In the heart of the sea;6,9;47;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;100000000;24985612;;;;;;;;
Minions;6,4;54;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;74000000;336029560;;;;;;;;
Fantastic Four;4,3;27;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;120000000;56114221;;;;;;;;
Maze Runner: Scorch trails;6,3;43;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;61000000;81687587;;;;;;;;
Pan;5,8;36;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;150000000;34964818;;;;;;;;
Steve Jobs;7,2;82;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;30000000;17750583;;;;;;;;
The Duff;6,5;56;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;8500000;34017854;;;;;;;;
Dope;7,3;72;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;7000000;17474107;;;;;;;;
The Intern;7,1;51;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;35000000;75274748;;;;;;;;
Burnt;6,6;42;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;20000000;13650738;;;;;;;;
Mr. Right;6,3;52;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;8000000;25369;;;;;;;;
Daddy's Home;6,1;42;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;50000000;150315155;;;;;;;;
Macbeth;6,7;71;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;15000000;16322067;;;;;;;;
Hello, My name is Dorith;6,7;63;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1000000;14443077;;;;;;;;
Ted 2;6,3;48;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;68000000;81257500;;;;;;;;
Eye In the Sky;7,3;73;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;13000000;18700837;;;;;;;;
Youth;7,3;64;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;12300000;24000000;;;;;;;;
Entourage;6,6;38;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;30000000;32361416;;;;;;;;
Sisters;6;58;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;30000000;87028670;;;;;;;;
We Are Your Friends;6,2;48;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2000000;3590010;;;;;;;;
Concussion;7,1;55;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;35000000;34531832;;;;;;;;
